"","G1Sample1","G1Sample2","G1Sample3","G1Sample4","G1Sample5","G1Sample6","G1Sample7","G1Sample8","G1Sample9","G1Sample10","G1Sample11","G1Sample12","G1Sample13","G1Sample14","G1Sample15","G1Sample16","G1Sample17","G1Sample18","G1Sample19","G1Sample20","G1Sample21","G1Sample22"
"Feature1",0.126787902,0.633813076,0.604370906,0.149027742,0.308895406,0.147172975,0.329180727,0.077198516,0.463454187,0.417420001,0.454023302,0.455793105,0.383039541,0.693562776,0.984304978,0.281237232,0.87817854,0.992663,0.655028754,0.104037389,0.52584697,0.372282385
"Feature2",0.745382411,0.439966714,0.001344662,0.080893604,0.347260691,0.376849839,0.018601287,0.520206559,0.982657262,0.82762331,0.237627294,0.613179228,0.840093712,0.527818185,0.220044191,0.620962704,0.983083264,0.986508052,0.25965785,0.907383913,0.617012653,0.440783193
"Feature3",0.767344347,0.01412433,0.576067041,0.991626081,0.473691233,0.533335893,0.019226613,0.410216558,0.548717292,0.730603139,0.278289348,0.875833233,0.099873765,0.560543944,0.994809,0.623637812,0.976939068,0.986349,0.162899042,0.980778774,0.232121041,0.696168187
"Feature4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature5",0.920043309,0.911976021,0.982651574,0.940540516,0.906572932,0.911476703,0.918210302,0.887068771,0.885285654,0.893595144,0.919238456,0.930794877,0.964733684,0.925935071,0.991399,0.944846723,0.958976699,0.988411,0.961620204,0.927692971,0.953439266,0.962307984
"Feature6",0.971568526,0.953958308,0.990560303,0.956097666,0.961535129,0.941744244,0.952882594,0.949388199,0.934560483,0.945186782,0.955965747,0.969429667,0.975077193,0.96541739,0.987413991,0.96130561,0.964142413,0.981806,0.971540294,0.978180118,0.972679915,0.97836079
"Feature7",0.406985752,0.252086497,0.03214057,1.88e-05,0.013572703,0.001677,0.650621221,0.087806773,0.89439053,0.786167941,0.617918019,0.460504178,0.29592736,0.958929997,0.98594,0.720634032,0.979313848,0.981888,0.984049629,0.773358556,0.806829588,0.34114479
"Feature8",0.698737461,0.23885331,0.074783361,0.000117654,0.03586821,0.007287282,0.606859172,0.147081925,0.968684017,0.851235643,0.607727907,0.451281935,0.172971062,0.897269373,0.977817,0.705498794,0.980785144,0.981487,0.972335272,0.767206112,0.774065507,0.302179568
"Feature9",0.760329836,0.726990054,0.756596661,0.777957782,0.798856585,0.768784043,0.825011819,0.761094616,0.970797703,0.748229947,0.796192591,0.842261174,0.8326506,0.874544083,0.801501459,0.845760014,0.841202647,0.980598,0.839831435,0.841692958,0.87663461,0.822951217
"Feature10",0.568120165,0.671124166,0.980822966,0.356657953,0.59108454,0.492742681,0.579563064,0.233136853,0.883940944,0.367013689,0.596081634,0.271953551,0.736142299,0.594129436,0.984167,0.406630016,0.771940472,0.983136,0.732228828,0.767911559,0.488948337,0.651920216
"Feature11",0.42945365,0.884212314,0.988155676,0.988847517,0.51877426,0.390465858,0.366287857,0.898143388,0.886403453,0.908557569,0.596250929,0.391762279,0.631905437,0.916914375,0.99172,0.171784795,0.981674866,0.983863,0.726292885,0.99465089,0.871052697,0.18336279
"Feature12",0.551828752,0.86097856,0.992069997,0.983076556,0.626338035,0.50618745,0.934197774,0.709980882,0.984543881,0.941068067,0.535354875,0.50207928,0.970129361,0.9908871,0.988208,0.671709074,0.980784815,0.997933,0.639017919,0.980989252,0.990880043,0.703056617
